Ticker Symbol,Name,Stock Exchange,Type,Sub Type,Web Address,
RAS,Resource Asset Investment Trust,NASDA,Mortgage,MtgBacked,www.raitrust.com,   
REA,American Real Estate Investment Corporation,AMEX,Equity,Mixed,,   
REA,American Real Estate Investment Corporation,AMEX,Equity,Mixed,www.areic.com,   
REG,Regency Realty Corporation,NYSE,Equity,Strip,www.regencyrealty.com,   
RFS,RFS Hotel Investors Inc,NYSE,Equity,Hotel,,   
RPI,Roberts Realty Investors,AMEX,Equity,Apartment,,   
RPT,Ramco-Gershenson Property Trust,NYSE,Equity,Strip,,   
RSE,The Rouse Co,NYSE,Equity,Diversified,www.therousecompany.com,   
RWT,Redwood Trust Inc,NASDA,Mortgage,MtgBacked,www.redwoodtrust.com,   
SEA,Storage Trust Realty,NYSE,Equity,Storage,www.storagetrust.com,   
SHU,Shurgard Storage Centers Inc,NYSE,Equity,Storage,www.shurgard.com,   
SIZ,Sizeler Property Investors Inc,NYSE,Equity,Diversified,,   
SKT,Tanger Factory Outlet Centers Inc,NYSE,Equity,Outlet,www.tangeroutlet.com,   
SLG,SL Green Realty Corporation,NYSE,Equity,Office,www.slgreen.com,   
SMT,Summit Properties Inc,NYSE,Equity,Apartment,www.summitproperties.com,   
SPG,Simon Property Group Inc,NYSE,Equity,Regional Mall,www.simon.com,   
SPK,Spieker Properties Inc,NYSE,Equity,Mixed,www.spieker.com,   
SRW,Charles E Smith Residential Realty Inc,NYSE,Equity,Apartment,www.smithreit.com,   
SSI,Sunstone Hotel Investors Inc,NYSE,Equity,Hotel,,   
SSS,Sovran Self Storage Inc,NYSE,Equity,Storage,www.sovrans.com,   
SUI,Sun Communities Inc,NYSE,Equity,Mfd Hm,,   
SUS,Storage USA Inc,NYSE,Equity,Storage,www.sus.com,   
TCI,Transcontinental Realty Investors Inc,NYSE,Equity,Diversified,,
TCO,Taubman Centers Inc,NYSE,Equity,Regional Mall,www.taubman.com,   
TCR,Cornerstone Realty Income,NYSE,Equity,Apartment,www.cornerstonereit.com,   
TCT,Town & Country Trust,NYSE,Equity,Apartment,www.tctrust.com,   
TEE,National Golf Properties Inc,NYSE,Equity,Golf Properties,,   
TIS,TIS Mortgage Trust Co,NYSE,Mortgage,MtgBacked,,   
TMA,Thornburg Mortgage Asset Corporation,NYSE,Mortgage,MtgBacked,www.thornburg.com,   
TOW,"Tower Realty Trust, Inc.",NYSE,Equity,Office,,   
TRI,TriNet Corporate Realty Trust Inc,NYSE,Equity,Industrial,www.tricorp.com,   
UBP,"Urstadt Biddle Properties, Inc.",NYSE,Equity,Strip,,   
UDR,United Dominion Realty Trust Inc,NYSE,Equity,Apartment,www.udrt.com,   
UHT,Universal Health Realty Income Trust,NYSE,Equity,Healthcare,,   
UIRT,United Investors Realty Trust,NASDA,Equity,Strip,www.fcacorp.com,   
UMH,United Mobile Homes Inc,AMEX,Equity,Mfd Hm,www.umh.com,   
URB,Urban Shopping Centers Inc,NYSE,Equity,Regional Mall,,   
USV,US Restaurant Properties,NYSE,Equity,Triple Net,www.usrp.com,   
VIPT,"Tarragon Realty Investors, Inc.",NASDA,Equity,Apartment,,   
VNO,Vornado Realty Trust,NYSE,Equity,Diversified,,   
WDN,Walden Residential Property Trust,NYSE,Equity,Apartment,www.waldenresidential.com,   
WEA,Westfield America Inc,NYSE,Equity,Regional Mall,www.westfieldamerica.com,   
WIR,Western Investment Real Estate Trust,AMEX,Equity,Strip,www.wirer.com,   
WKS,Weeks Corporation,NYSE,Equity,Industrial,www.weekscorp.com,   
WRE,Washington Real Estate Investment Trust,AMEX,Equity,Diversified,www.shareholdernews.com/wre,   
WREI,Wilshire Real Estate Investment Trust,NASDA,Mortgage,MtgBacked,,   
WRI,Weingarten Realty Investors,NYSE,Equity,Strip,www.weingarten.com,   
WXH,Winston Hotels Inc,NYSE,Equity,Hotel,www.winstonhotels.com,   
